ref,qty,designator,description,manufacturer,mfg_part_number,footprint,notes
1,10,U1,Current/Power Monitor,Analog Devices,INA226AIDRLT,SOIC-8_3.9x4.9mm_P1.27mm,"I2C power monitor, VIN+ VIN- differential inputs"
2,10,U2,5V Buck Regulator,Texas Instruments,TPS5430,HTSSOP-14_16.3x6.4mm_P0.5mm,"Suggested synchronous buck, adjust to thermal needs"
3,10,U3,3.3V Buck Regulator,Texas Instruments,TPS62840,SOT-23-5,"Low-IQ synchronous buck (alternate: MP1584 for higher current)"
4,10,U4,1.8V LDO,Texas Instruments,TLV70018,SOT-23-5,"Low-dropout regulator for 1.8V rail"
5,10,Q1,P-channel MOSFET,Diodes Inc.,BSS84,SOT-23-3,"Reverse-protection MOSFET (P-channel)"
6,10,R1,Current Sense Resistor,Generic,0.05R_2512,2512,"Low-ohm shunt; choose adequate power rating (e.g., 1% 1W)"
7,10,F1,Fuse (series),Generic,FUSE_SMD_1206,1206,"Slow-blow or polyfuse per battery spec"
8,10,D1,TVS Diode,Generic,TVS_SMD_5.0,SMBJ,"Solar input transient suppression; pick standoff suitable for PV voltage"
9,10,J1,Solar Input Connector,Generic,CONN_2P_WIRE,Conn_01x02,"XT30/SM or screw terminal depending on PV connector choice"
10,10,J2,Battery/BMS Connector,Generic,CONN_4P_JST,Conn_01x04,"BATT+/BATT-/SDA/SCL"
11,10,JDEBUG,Debug Header,Generic,CONN_6P_1.27mm,Conn_01x06,"UART TX/RX,3.3V,GND,BOOT,RESET"
12,50,C_decoupling,Capacitor 0.1uF,Generic,C_0603,0603,"Decoupling caps for regulators"
13,10,C_bulk,Bulk capacitor 22uF,Generic,C_1210,1210,"Bulk electrolytic or MLCC on VIN of regulators"
14,20,R_pu,I2C pull-up resistor 4.7k,Generic,R_0402,0402,"I2C pull-ups to 3.3V (4.7k recommended)"
